Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Bonus_Ball
06/08/2013,2,3,4,27,30,32,6
10/08/2013,1,3,18,19,35,37,6
13/08/2013,1,5,14,19,26,28,4
17/08/2013,5,9,17,19,33,35,7
20/08/2013,8,13,16,17,29,37,6
24/08/2013,6,10,11,15,19,24,5
27/08/2013,4,16,17,19,30,34,5
31/08/2013,7,12,16,22,24,25,3
03/09/2013,8,14,27,29,33,37,6
08/09/2013,2,6,16,28,35,37,7
10/09/2013,3,13,24,27,33,35,3
15/09/2013,1,3,4,6,12,13,4
17/09/2013,17,20,26,28,30,33,4
21/09/2013,3,8,17,19,24,33,6
24/09/2013,11,21,22,23,28,37,5
28/09/2013,3,9,14,20,34,35,2
01/10/2013,10,11,19,21,23,29,4
05/10/2013,2,4,12,27,34,37,2
08/10/2013,3,7,13,17,18,28,7
12/10/2013,3,8,16,19,25,27,1
15/10/2013,5,8,10,20,34,37,2
19/10/2013,6,13,15,22,23,37,6
22/10/2013,11,17,21,23,26,27,3
26/10/2013,1,2,7,12,29,33,3
29/10/2013,1,7,10,21,28,30,1
02/11/2013,2,8,12,19,26,27,6
05/11/2013,1,10,12,19,35,36,6
09/11/2013,3,4,24,27,31,36,2
12/11/2013,14,22,24,33,35,36,7
16/11/2013,7,19,22,28,30,33,4
19/11/2013,4,6,10,17,28,32,4
23/11/2013,1,9,17,29,30,37,5
26/11/2013,11,14,19,21,26,33,7
30/11/2013,11,21,29,33,35,37,4
03/12/2013,2,10,16,26,27,30,4
07/12/2013,1,3,11,13,21,28,7
10/12/2013,1,8,12,19,26,27,3
14/12/2013,5,11,25,26,29,36,3
17/12/2013,13,15,17,24,26,27,3
21/12/2013,5,20,21,26,30,35,1
24/12/2013,9,18,25,30,33,37,5
28/12/2013,4,14,16,21,33,36,3
31/12/2013,7,9,10,22,24,33,4
04/01/2014,7,9,13,18,21,22,4
07/01/2014,12,13,18,31,32,36,7
11/01/2014,1,3,4,22,28,36,2
